text,author
"On the morning of the first day of the next month, the landlady does not present her bill, according to promise a piece of neglect for which the comfortable head of the house ending in ogs would no doubt have chided her severely, could he have been prevailed upon to remain in town a day or two for that purpose.",0
"This may not be; cease to argue the point, for I cannot consent.""",2
In the evening Barry dined with me and announced that he would begin the drainage in two days.,1
"It was called, she said, ""The Esoteric Order of Dagon"", and was undoubtedly a debased, quasi pagan thing imported from the East a century before, at a time when the Innsmouth fisheries seemed to be going barren.",1
"I had fallen into a trance while absent from home while among strangers when, or how, I could not remember and it was they who had buried me as a dog nailed up in some common coffin and thrust deep, deep, and for ever, into some ordinary and nameless grave.",0
"Bless thy child even even sic in death, as I bless thee; and let me sleep at peace in my quiet grave.""",2
He told us what had become of the eighty three lost tragedies of Æschylus; of the fifty four orations of Isæus; of the three hundred and ninety one speeches of Lysias; of the hundred and eighty treatises of Theophrastus; of the eighth book of the conic sections of Apollonius; of Pindar's hymns and dithyrambics; and of the five and forty tragedies of Homer Junior.,0
"Farther than this, little could be ascertained.",0
"The old man saw it, and stopped whispering even before my expression of horror made it necessary; saw it and glanced quickly toward the floor of the room he had left an hour before.",1
"From comparatively trivial wickedness I passed, with the stride of a giant, into more than the enormities of an Elah Gabalus.",0
"Like most youths, he indulged in elaborate day dreams of revenge, triumph, and final magnanimous forgiveness.",1
I would not have believed that any wave could rise so high.,0
"He knows where They have trod earth's fields, and where They still tread them, and why no one can behold Them as They tread.",1
"She seated herself then on the same ottoman where I had left her in the morning resting on the beating heart of her Raymond; I dared not approach her, but sat at a distant corner, watching her starting and nervous gestures.",2
"Psychologically my case is most interesting, and I regret that it cannot be observed scientifically by a competent German authority.",1
The older matters which had made the sculptor's dream and bas relief so significant to my uncle formed the subject of the second half of his long manuscript.,1
"I now raised up the hoop again within the covering of gum elastic, and propped it at nearly its former height by means of three light poles prepared for the occasion.",0
"The eminent critic and biographer was born in the year , shortly after the extinction of the Roman rule in Gaul by Clovis.",1
"Also, Dombrowski must attend to the poisoning of those rats in the walls.",1
It had been a vigorous man; a well dressed stranger just off the train on his way to transact some business with the Bolton Worsted Mills.,1
"But I did not believe my errors to be irretrievable, and after much consideration I resolved to return to the cottage, seek the old man, and by my representations win him to my party.",2
"With his fanciful mind he thought often of the prehistoric civilisation in which the mad explorer had so implicitly believed, and would weave tale after tale about the silent jungle city mentioned in the latter's wilder notes and paragraphs.",1
"The fashions of the world, its exigencies, educations and pursuits, are winds to drive our wills, like clouds all one way; but let a thunderstorm arise in the shape of love, hate, or ambition, and the rack goes backward, stemming the opposing air in triumph.""",2
But soon I endeavoured to extract patience for her from the ideas she suggested.,2
For some time I sat upon the rock that overlooks the sea of ice.,2
West did not resist or utter a sound.,1
"Do you, my compassionate friend, tell me how to die peacefully and innocently and I will bless you: all that I, poor wretch, can desire is a painless death.""",2
"I saw when I staggered to my feet that the amorphous flute player had rolled out of sight, but that two of the beasts were patiently standing by.",1
"Six years before, in Flanders, a shelled hospital had fallen upon the headless reanimated trunk of Dr. Clapham Lee, and upon the detached head which perhaps had uttered articulate sounds.",1
"Notwithstanding the good offices of the Doctor, and the strenuous exertions of the association to get itself into notice, it met with no very great success until I joined it.",0
Only at the twelfth was the triumph complete.,0
"Your favourite schoolfellow, Louis Manoir, has suffered several misfortunes since the departure of Clerval from Geneva.",2
"In childhood I must have felt with the energy of a man what I now find stamped upon memory in lines as vivid, as deep, and as durable as the exergues of the Carthaginian medals.",0
"Communication had been to a great degree cut off through the paralyzing effects of pestilence, so that the van of our invaders had proceeded as far as Manchester and Derby, before we received notice of their arrival.",2
I will be minute in relating all but at what point shall the weird narrative begin?,0
"How long it lasted of course, I know not; but when, once again, I unclosed my eyes, the objects around me were visible.",0
"These figures were seldom completely human, but often approached humanity in varying degree.",1
Raymond's eyes were fixed on the city.,2
"How often hath he sung to me of lands that never were, and things that never can be Of Aira did he speak much; of Aira and the river Nithra, and the falls of the tiny Kra.",1
"But I am ambitious of signalizing my abdication of the literary sceptre by some important bequest to posterity; and, perhaps, I cannot do a better thing than just pen for it an account of my earlier career.",0
"In a week or two it had visibly faded, and in the course of a few months it was hardly discernible with the naked eye.""",1
"These, like the over largely lettered signs and placards of the street, escape observation by dint of being excessively obvious; and here the physical oversight is precisely analogous with the moral inapprehension by which the intellect suffers to pass unnoticed those considerations which are too obtrusively and too palpably self evident.",0
"I put her in one of these, and entered with her that I might secure her entrance into the hospital.",2
"My flagging spirits asked for something to speak to the affections; and not finding it, I drooped.",2
"Through a species of unutterable horror and awe, for which the language of mortality has no sufficiently energetic expression, I felt my heart cease to beat, my limbs grow rigid where I sat.",0
"The girl was young and of gentle demeanour, unlike what I have since found cottagers and farmhouse servants to be.",2
