text,gender
"        urlLink    one of our many attempts to take a nice pic of ourselves...  ps. thanks boo, for posting the pics for me! MWAH ~ bloop         ",female
"                 Monday night, we slept three to a bed.&nbsp; Three to a bed!&nbsp; A single!  Order of sleepers: Nick Kat Trevor  Note: The only thing standing in the way of Nick and Trevor turning totally homo was a cut of thinly sliced Kat acting as a barrier between Trevor's penis and Nick's butthole.  Q: Thinly sliced Kat?&nbsp; Are you kidding?&nbsp; Have you seen the size of that girl?&nbsp; Fucking 16 oz. steak or whatever.&nbsp; A: &nbsp;Shut your butt, dude, shut your butt.&nbsp;   Q: Nick's butthole?&nbsp; Are you kidding?&nbsp; I am an attractive&nbsp;heterosexual girl and I just made out with him and/or interacted with his genitals.&nbsp; That guy's totally hetero! A: Dude, wtf?&nbsp; Are you kidding?&nbsp; Homeboy just scored 40% on the  urlLink gayometer ,&nbsp;and it would have been more if I hadn't been in the room and he weren't afraid to admit to me how he got his rocks off.&nbsp; All he does is talk about how hot  urlLink Randy  is anyway.  The night took a hilarious turn when I was penetrated in  urlLink two funny ways.        ",male
           That gives a whole new meaning to Death by Chocolate.          ,male
              urlLink    My sister and Liz-Ann before we leave Dad's place at Monterey.         ,male
"          'I want to rub baby oil on your inner thigh.'  Danny was built several years ago by Miles and Bethany, two keen science students of the University of Wisconsin. Danny was originally designed to have basic speech functions, and would be able to hold fairly straight-forward conversations. He would say things like, 'My, that's a nice sweater you're wearing,' or, 'Gee this weather's just dandy today, isn't it?'. But it was soon realized that Danny began to develop his own intelligence, and intellect far beyond that of a simple-speech robot. Soon passerbys would say 'Hello Danny,' expecting a kind reply, only to recieve such replies as 'GO SHOVE YOUR FACE IN THE OVEN!' or 'I'LL FUCK YOU WITH MY METAL FACE, ASSBAG'.  Slightly distraught over this turn of events, Miles and Beth decided they should pull the plug on poor, unfortunate Danny. But upon approaching him Danny fired lazers out of his eyes, screaming, 'FLEAGH BURN IN HELL HUMANS!' and with that he ventured into the desert, never to be seen again.  ...   That is, until he completes his conquest of the world... you will be assimilated. 12|1001|1000015.%100)(1010011|*           ",male
       Dear fuckers:  Please put up some street signs.    ,male
"            every now and again i get like this feeling so slow, so alone,  so inside myself, shuffling around.  something so strange, something so vague, i feel like the sound of crinkled paper, i feel broken today.   -me.  ...oh. btw, anyone out there got sum cool photoshop brushes they wanna' share?  roofsessions@hotmail.com          ",male
"                 Josh, Bach did really like guitar, but his son was by far better than him at it.  But Johann Sebastian was best on the piano.      ",male
"        sniffle, sniffle  I have come down with a monster cold, which most likely was caught from my husband.  I thought I avoided it when I took extra Vitamin C and Zinc, coupled with consumiing mass quantities of green tea.  No such luck.  At least this isn't strep, like I had last year.  Knock wood.    It's been a while since last posting...Mom went home Sunday and I miss her already.  I got out a few decorations and put up some lights.  This weekend is reserved for getting our tree, rearranging the living room to suit the tree I am envisioning, and decorating the house.  Most of the shopping is done, with the exception of a few stocking stuffers here and there.  (Thank goodness for  urlLink Amazon.com , because I love one-click shopping.)  Wow I am tired.  If I'm not posting for a while, it's 'cause I'm trying to get healthy.  :o)         ",female
"                 ...across the sea...  Why are you hurting when you should be happy? Why are you crying when he cares? Why are you doubtful when he's kind? Why don't you trust anymore?  He might have thought of her today. He might have cried for her today. He might feel for her one day. He might go for good some day.  It was time for him to close the chapter and move on. This evening was the right time. He has to let this deep wound heal. He has to know you are there for him.  She might have hurt him oh so much, He might have loved her with all his might. But there he stood by your side. There he held your hand so dear.  The hurt she caused, the fear she inflicted, You can do nothing, but to love him more.  You crash and burn, You have to learn.  He may be here, but he might be gone.  Give him your prayers and your support. Give him space and much needed rest.  He'd be yours if he was meant to be.   Who's going to drive you home tonight?       ",female
